SumRiverList;SumTribCatch;SumMSCatch;SumCoastCatch;SumSpawning;AvgOverExpl;AvgMaxTotalExpl;OverExpl1;OverExpl2;OverExpl3;OverExpl4;MaxExpl1;MaxExpl2;MaxExpl3;MaxExpl4
Tana MS;0;12270.153875;8292.53250331087;17988.380043396;0.447819107525865;0.0580863397197095;0.453803837340989;0.531682393805746;0.434423321610918;0.371366877345807;0.2171845064644;0.0151608524144382;0;0
Maskejohka;810.320853106941;978.815;947.89111244476;2482.38718324028;0.224573168166309;0.303177407921063;0;0.143385025130184;0.192088100373083;0.562819547161967;0.577223103133114;0.383695192765511;0.251791335785625;0
Pulmanki;445.876301724997;312.62825;295.236988988982;924.241285652771;0.180663450677905;0.341985596998469;0.0828512516542113;0;0;0.639802551057407;0.385333187692094;0.426749303498633;0.555859896803149;0
Laksjohka;67.4426367914002;473.535625;267.672276989529;593.479116724969;0.45077642485043;0.0107772521419649;0.547921994299561;0.390057489393264;0.567459451943286;0.297666763765609;0.0431090085678595;0;0;0
Vetsijoki;477.599713668456;2886.352375;1202.72726866079;1594.37907013324;0.194823653362459;0.638969881232033;0.160688366528458;0.158298311916632;0.185531802928759;0.274776132075987;0.729111403110324;0.663863531638459;0.62588116669125;0.537023423488101
Utsjoki;1553.4480226486;3159.46925;1935.07220088115;3947.31523490094;0.166189802330299;0.582262784730415;0;0;0.447733841827455;0.21702536749374;0.734945244306837;0.691406813311617;0.466290690775789;0.436408390527416
Kuoppilasjoki;0;379.675;273.546243390803;861.226836845229;0;0.57737377205847;0;0;0;0;0.684987895895167;0.460729997836447;0.697756917334224;0.466020277168042
Leavvajohka;0;937.187375;616.818365565175;1563.49636947511;0;0.719107970359401;0;0;0;0;0.791883034638202;0.678018357139814;0.765516398503247;0.641014091156342
Baisjohka;0;529.749;340.540651964403;896.992423980577;0;0.622162920389497;0;0;0;0;0.65672666446329;0.676151051030308;0.657981617220308;0.497792348844081
Nilijoki;0;550.1739;270.660269734294;533.473663285863;0.237530000524156;0.553896020856331;0.249103680023864;0;0;0.701016322072761;0.647349613671556;0.63046735152233;0.801680512404327;0.136086605827109
Valjohka (alt);0;999.280125;649.753850288011;1476.95371734043;0.104517623861811;0.474207838740499;0;0;0.0642085334963979;0.353861961950846;0.630299290318428;0.593292770031918;0.467319902068159;0.20591939254349
Akujoki;0;526.466;151.201164780224;94.7332199532327;0.670940902173659;0.509827327202236;0.705076394526798;0.552179319691183;0.607438841202844;0.819069053273812;0.693960912049844;0.465842948963918;0.805137128583667;0.0743683192115165
Anarjohka;578.764924984211;7119.916125;2766.05835276272;3256.2079937235;0.678804184900359;0.0644975635758021;0.719881082080446;0.724270062807547;0.775399864821901;0.495665729891541;0.257990254303208;0;0;0
Karasjohka;1502.49073102289;3927.394775;2172.52200850542;3985.57138768496;0.586668741910798;0.0301235465548374;0.605490238523331;0.724294062039068;0.552756509515414;0.46413415756538;0.12049418621935;0;0;0
Iesjohka;1031.13578348504;3272.21735;1505.84659498288;2165.06276436052;0.545003592489562;0.00543847118674572;0.667244051908748;0.594175461075807;0.432272917050848;0.486321939922843;0.0217538847469829;0;0;0
