SumRiverList;SumTribCatch;SumMSCatch;SumCoastCatch;SumSpawning;AvgOverExpl;AvgMaxTotalExpl;OverExpl1;OverExpl2;OverExpl3;OverExpl4;MaxExpl1;MaxExpl2;MaxExpl3;MaxExpl4
Tana MS;0;36570.6647032688;13553.8323484921;23481.3904994185;0.430517353800107;0.405709844437629;0.475202386401352;0.294932185810897;0;0.637244510240577;0.389567629108426;0.575490252272309;0.717620479483743;0.160383765984523
Maskejohka;1591.66599136789;1319.76609090909;939.610575995697;2845.91982722192;0.16247853371205;0.35244164210187;0.350994986227343;0.291403178154122;0;0.351295677562558;0.20267128597706;0.585097590543934;0.543464750858758;0.130116212042764
Pulmanki;782.98013157514;377.108490909091;279.600915108015;1154.50372670584;0.274356652985772;0.342409230862615;0;0.437559917135401;0.379634426021436;1.0672527388598;0.487802317386781;0.257792525036112;0.229302430857911;0
Laksjohka;289.665706465967;608.396045454545;323.03270159409;919.666363465301;0.392175538558164;0.130784156926787;0.080561385049322;0.348166805241007;0.448268938464077;0.600166448640721;0.356864450051246;0.555350111896277;0.0798846508656604;0
Vetsijoki;696.688817770456;2254.10574545455;945.352264340404;2103.78830448472;0.113863058501313;0.614160575240422;0;0;0.397603152707239;0.134115766949624;0.759869557012883;0.694981232932352;0.506790667222623;0.512158056940673
Utsjoki;2129.48795877582;3365.85987272727;1876.94923173328;5448.60467997186;0.0662208890037014;0.665061655544561;0;0.0207186160318601;0.604762039382571;0;0.773694178777532;0.681629732087203;0.557076388789978;0.564296994099776
Kuoppilasjoki;0;649.491845454546;293.798274360749;939.442384834129;0.0246097621162837;0.635282864749534;0;0;0;0.011601076484403;0.6997172889934;0.811542425880649;0.786963960538053;0.52051257746297
Leavvajohka;0;1025.81;473.537645197782;1228.24213621032;0.0419452881442499;0.646211534150471;0;0;0;0.0960647498579485;0.696045585338655;0.889130314548618;0.796259580798127;0.528361109792168
Baisjohka;0;563.214072727273;246.216693682027;667.638852557846;0.11701418136123;0.491455959437112;0.281202234276922;0;0;0.330496415227987;0.354933620366964;0.819704034920229;0.758847645548848;0.34301108749023
Nilijoki;0;615.362763636364;220.851926446957;453.273508676235;0.21062735832212;0.629768535312832;0.292227144909181;0;0;0.466243527280498;0.642046088898351;0.864275925278967;0.742662569020144;0.389787690587963
Valjohka (alt);0;1347.10902727273;576.858003551972;1462.33492501692;0.11665852669893;0.533162120457315;0;0;0;0.445899869581851;0.59319647484373;0.72622092995264;0.631572586029576;0.251669004486265
Akujoki;0;236.088136363636;89.8064964163929;203.107444277031;0.322243527752644;0.406748576838379;0.23493953000301;0.307815981654459;0.490167281994436;0.631373879604837;0.415154095764526;0.589578994841461;0.451697222265583;0.0331555571258109
Anarjohka;2517.79887089691;11798.782;3309.12842328294;3663.65758020397;0.726686307467639;0.238066812536815;0.637369136355341;0.694667211827977;0.727462856686574;0.748051403045177;0.394853664706914;0.536863263067694;0.117107623559485;0
Karasjohka;3142.54798284283;9570.06542727273;2966.3054117018;3936.01212095108;0.667729171504186;0.243153473074667;0.633639898273183;0.727818048349444;0.529167306890206;0.723711601669391;0.182173204095701;0.299746116050836;0.510143057902313;0
Iesjohka;2371.37613631464;7520.46858181818;2251.78102664213;2708.51534044681;0.723874055839403;0.164581160156107;0.668195671938261;0.726607284474313;0.561375969620649;0.702708905536971;0.0922444314501777;0.29350697995462;0.457984651434921;0
