RiverNumber;RiverList;RiverYear;CatchForFile;OrigCatchForFile;FemPropForFile;Spawn_W_mod;Spawn_W_min;Spawn_W_max;Spawn_W_med;GBM_maal;GBM_prob;Spawn4yrMin;Spawn4yrMed;Spawn4yrMax;GBM_4yr_maal;GBM_4yr_prob;Expl_L;Expl_M;Expl_H;ExplAdj;UnrepForFile
1;Tana MS;2016;33953.414141871;33981.87121;0.57;12205.5372841983;6100.26914909982;21855.4264184357;12443.027394653;0.568864566667966;0.0073;5759.66239594487;11687.6507481372;20803.1912015344;0.540069945102379;0.004;0.480527729846757;0.601384144036166;0.74879822127041;0;0
1;Tana MS;2017;16669.6688011456;16683.64;0.61;8127.99159931392;4371.12776884456;13725.7907661929;8073.36934394119;0.371887072317841;0;5532.46118202302;10955.7204879584;19453.6604188303;0.509246432118463;5e-04;0.44104615517779;0.550128205697249;0.686935338722812;0;0
1;Tana MS;2018;13615.6594304178;13627.071;0.49;10422.135558892;6905.72698007469;16336.8833929933;10635.7312500668;0.476315743048999;0;5664.58785106614;10328.368610497;17905.6575617163;0.478943556484181;1e-04;0.304393042766263;0.378312029671591;0.474552559824453;0;0
1;Tana MS;2019;10192.4814676256;10201.024;0.57;8650.10170918371;5663.6798167503;13319.2293847468;8878.59052827348;0.390258499137943;0;5760.20092869234;9851.44153789699;16309.3324905922;0.448600789098819;0;0.312482903760611;0.390507251782011;0.487463303952628;0;0
1;Tana MS;2020;8448.00405071674;8455.0845;0.59;8912.53437342614;5992.60012121318;13641.5126293314;9063.51234510171;0.402807353750107;0;5733.28367172068;9028.19081020394;14255.8540433161;0.410717250746075;0;0.281070734645938;0.354856116021023;0.436904161846698;0;0
2;Maskejohka;2006;1911.39801725472;1913;0.373538944066911;1011.47745135818;686.097181262819;1483.8842281786;1006.92231490017;0.698407210078866;0.0249;0;0;0;0;0;0.35434128270433;0.442926603380412;0.553658254225515;0;0
2;Maskejohka;2007;1289.91889193719;1291;0.566057319907049;1081.59615775449;761.298390690453;1491.75065303237;1077.87023592949;0.732615441293137;0.0364;0;0;0;0;0;0.325393824826717;0.406742281033396;0.508427851291745;0;0
2;Maskejohka;2008;2318.05718767953;2320;0.504344827586207;2135.34266160836;1582.38235013132;3048.31064988244;2195.68442918278;1.4820066182919;0.9851;0;0;0;0;0;0.309032884695435;0.386291105869294;0.482863882336617;0;0
2;Maskejohka;2009;1485.75475779287;1487;0.412797579018157;1003.34253097755;714.543897071416;1362.12576734913;992.40671728306;0.677177308870868;0.0093;936.080454789002;1307.93970042465;1846.51782461063;0.897735488148445;0.2566;0.329726982953758;0.412158728692198;0.515198410865247;0;0
2;Maskejohka;2010;1968.35028436581;1970;0.524162436548223;1579.60316203698;1167.84723144333;2283.44820986765;1623.61562179121;1.10365045970757;0.6706;1056.51796733413;1449.97112809435;2046.4088200329;1.00047028948159;0.464;0.322290388548057;0.402862985685072;0.503578732106339;0;0
2;Maskejohka;2011;1440.79244165254;1442;0.521927877947296;1302.76728842431;944.446334464919;1832.54898042281;1318.71519614058;0.896249931823562;0.2534;1102.30495327775;1505.2639107618;2131.60840188051;1.0383313047224;0.5451;0.309442060085837;0.386802575107296;0.48350321888412;0;0
2;Maskejohka;2012;1767.51860560565;1769;0.513985302430752;1424.5021019909;981.103438301141;2050.63949626308;1427.49138386614;0.979867788519188;0.4236;951.985225320201;1327.55377085743;1882.19061347567;0.915340949211535;0.2934;0.330950617765132;0.413688272206415;0.517110340258019;0;0
2;Maskejohka;2013;978.180166697528;979;0.485393258426966;882.046225719779;670.276608829255;1231.54293278449;898.426940770125;0.612850687302084;4e-04;940.91840325966;1297.22969454299;1849.54490483451;0.896515270976292;0.2532;0.292245729583738;0.365307161979673;0.456633952474591;0;0
2;Maskejohka;2014;1494.74722102094;1496;0.504371657754011;1457.24652209012;1055.93258762638;1999.96946269675;1456.7465726976;0.991490074972369;0.446;912.939742305425;1266.64053455628;1778.67521804178;0.868311293304618;0.1995;0.286799342705861;0.358499178382326;0.448123972977908;0;0
2;Maskejohka;2015;1316.89628162139;1318;0.420402124430956;1329.84396791435;985.472351110587;1811.18416737343;1344.23622318224;0.904691200009517;0.2593;923.196246466842;1273.40970442879;1773.33401477944;0.870959145479798;0.1985;0.255974104794659;0.319967630993324;0.399959538741655;0;0
2;Maskejohka;2016;1536.71204941859;1538;0.524453836150845;1970.63443693046;1477.61576654739;2784.98870021376;2023.83142550265;1.3641830832243;0.9529;1047.3243285284;1409.94278816368;1956.92131576711;0.96859105166225;0.3972;0.239261059795819;0.299076324744774;0.373845405930968;0;0
